,course_title,course_organization,course_rating,course_difficulty,course_students_enrolled
363,Google UX Design,Google,4.8,Beginner,220K
364,Google IT Support,Google,4.8,Beginner,1M
365,IBM Data Analyst,IBM,4.6,Beginner,580K
366,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
367,Introduction to Data Science,IBM,4.6,Beginner,590K
368,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
369,Machine Learning,Stanford University,4.9,Mixed,4.4M
370,Google Data Analytics,Google,4.8,Beginner,380K
371,Google Project Management:,Google,4.8,Beginner,260K
372,IBM Data Science,IBM,4.6,Beginner,900K
373,Google UX Design,Google,4.8,Beginner,220K
374,Google IT Support,Google,4.8,Beginner,1M
375,IBM Data Analyst,IBM,4.6,Beginner,580K
376,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
377,Introduction to Data Science,IBM,4.6,Beginner,590K
378,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
379,Machine Learning,Stanford University,4.9,Mixed,4.4M
380,Google Data Analytics,Google,4.8,Beginner,380K
381,Google Project Management:,Google,4.8,Beginner,260K
382,IBM Data Science,IBM,4.6,Beginner,900K
383,Google UX Design,Google,4.8,Beginner,220K
384,Google IT Support,Google,4.8,Beginner,1M
385,IBM Data Analyst,IBM,4.6,Beginner,580K
386,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
387,Introduction to Data Science,IBM,4.6,Beginner,590K
388,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
389,Machine Learning,Stanford University,4.9,Mixed,4.4M
390,Google Data Analytics,Google,4.8,Beginner,380K
391,Google Project Management:,Google,4.8,Beginner,260K
392,IBM Data Science,IBM,4.6,Beginner,900K
393,Google UX Design,Google,4.8,Beginner,220K
394,Google IT Support,Google,4.8,Beginner,1M
395,IBM Data Analyst,IBM,4.6,Beginner,580K
396,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
397,Introduction to Data Science,IBM,4.6,Beginner,590K
398,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
399,Machine Learning,Stanford University,4.9,Mixed,4.4M
400,Google Data Analytics,Google,4.8,Beginner,380K
401,Google Project Management:,Google,4.8,Beginner,260K
402,IBM Data Science,IBM,4.6,Beginner,900K
403,Google UX Design,Google,4.8,Beginner,220K
404,Google IT Support,Google,4.8,Beginner,1M
405,IBM Data Analyst,IBM,4.6,Beginner,580K
406,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
407,Introduction to Data Science,IBM,4.6,Beginner,590K
408,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
409,Machine Learning,Stanford University,4.9,Mixed,4.4M
410,Google Data Analytics,Google,4.8,Beginner,380K
411,Google Project Management:,Google,4.8,Beginner,260K
412,IBM Data Science,IBM,4.6,Beginner,900K
413,Google UX Design,Google,4.8,Beginner,220K
414,Google IT Support,Google,4.8,Beginner,1M
415,IBM Data Analyst,IBM,4.6,Beginner,580K
416,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
417,Introduction to Data Science,IBM,4.6,Beginner,590K
418,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
419,Machine Learning,Stanford University,4.9,Mixed,4.4M
420,Google Data Analytics,Google,4.8,Beginner,380K
421,Google Project Management:,Google,4.8,Beginner,260K
422,IBM Data Science,IBM,4.6,Beginner,900K
423,Google UX Design,Google,4.8,Beginner,220K
424,Google IT Support,Google,4.8,Beginner,1M
425,IBM Data Analyst,IBM,4.6,Beginner,580K
426,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
427,Introduction to Data Science,IBM,4.6,Beginner,590K
428,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
429,Machine Learning,Stanford University,4.9,Mixed,4.4M
430,Google Data Analytics,Google,4.8,Beginner,380K
431,Google Project Management:,Google,4.8,Beginner,260K
432,IBM Data Science,IBM,4.6,Beginner,900K
433,Google UX Design,Google,4.8,Beginner,220K
434,Google IT Support,Google,4.8,Beginner,1M
435,IBM Data Analyst,IBM,4.6,Beginner,580K
436,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
437,Introduction to Data Science,IBM,4.6,Beginner,590K
438,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
439,Machine Learning,Stanford University,4.9,Mixed,4.4M
440,Google Data Analytics,Google,4.8,Beginner,380K
441,Google Project Management:,Google,4.8,Beginner,260K
442,IBM Data Science,IBM,4.6,Beginner,900K
443,Google UX Design,Google,4.8,Beginner,220K
444,Google IT Support,Google,4.8,Beginner,1M
445,IBM Data Analyst,IBM,4.6,Beginner,580K
446,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
447,Introduction to Data Science,IBM,4.6,Beginner,590K
448,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
449,Machine Learning,Stanford University,4.9,Mixed,4.4M
450,Google Data Analytics,Google,4.8,Beginner,380K
451,Google Project Management:,Google,4.8,Beginner,260K
452,IBM Data Science,IBM,4.6,Beginner,900K
453,Google UX Design,Google,4.8,Beginner,220K
454,Google IT Support,Google,4.8,Beginner,1M
455,IBM Data Analyst,IBM,4.6,Beginner,580K
456,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
457,Introduction to Data Science,IBM,4.6,Beginner,590K
458,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
459,Machine Learning,Stanford University,4.9,Mixed,4.4M
460,Google Data Analytics,Google,4.8,Beginner,380K
461,Google Project Management:,Google,4.8,Beginner,260K
462,IBM Data Science,IBM,4.6,Beginner,900K
463,Google UX Design,Google,4.8,Beginner,220K
464,Google IT Support,Google,4.8,Beginner,1M
465,IBM Data Analyst,IBM,4.6,Beginner,580K
466,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
467,Introduction to Data Science,IBM,4.6,Beginner,590K
468,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
469,Machine Learning,Stanford University,4.9,Mixed,4.4M
470,Google Data Analytics,Google,4.8,Beginner,380K
471,Google Project Management:,Google,4.8,Beginner,260K
472,IBM Data Science,IBM,4.6,Beginner,900K
473,Google UX Design,Google,4.8,Beginner,220K
474,Google IT Support,Google,4.8,Beginner,1M
475,IBM Data Analyst,IBM,4.6,Beginner,580K
476,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
477,Introduction to Data Science,IBM,4.6,Beginner,590K
478,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
479,Machine Learning,Stanford University,4.9,Mixed,4.4M
480,Google Data Analytics,Google,4.8,Beginner,380K
481,Google Project Management:,Google,4.8,Beginner,260K
482,IBM Data Science,IBM,4.6,Beginner,900K
483,Google UX Design,Google,4.8,Beginner,220K
484,Google IT Support,Google,4.8,Beginner,1M
485,IBM Data Analyst,IBM,4.6,Beginner,580K
486,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
487,Introduction to Data Science,IBM,4.6,Beginner,590K
488,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
489,Machine Learning,Stanford University,4.9,Mixed,4.4M
490,Google Data Analytics,Google,4.8,Beginner,380K
491,Google Project Management:,Google,4.8,Beginner,260K
492,IBM Data Science,IBM,4.6,Beginner,900K
